year,month,tmax,tmin,af,rain,sun,station
2020,6,19.9,11.1,0,108.4,136.5,shawbury
2016,1,8,3,3,84.8,40.3,sheffield
2016,2,7.8,2,5,68.6,96.1,sheffield
2016,3,9.1,2.9,2,87.2,98.6,sheffield
2016,4,11.6,3.8,1,65.8,154.9,sheffield
2016,5,16.9,7.9,0,58.2,164.5,sheffield
2016,6,18.8,11.1,0,130.4,106.5,sheffield
2016,7,21.3,13.5,0,30,178,sheffield
2016,8,21,13.2,0,62,194.5,sheffield
2016,9,19.9,12.5,0,44.2,113.5,sheffield
2016,10,13.7,8.1,0,29.2,84,sheffield
2016,11,8.4,3.7,2,95.6,71.9,sheffield
2016,12,9.3,4.1,3,31.8,57.9,sheffield
2017,1,6.7,2.2,8,41.6,53.8,sheffield
2017,2,8.1,3.5,2,58.2,50.4,sheffield
2017,3,12.3,5.5,1,62.6,143,sheffield
2017,4,13.4,5.6,0,15.8,150.3,sheffield
2017,5,17.9,9,0,53.2,180.1,sheffield
2017,6,20.3,12.6,0,89,155.2,sheffield
2017,7,21.2,12.6,0,78.2,152.2,sheffield
2017,8,19.9,12.1,0,68.6,171.5,sheffield
2017,9,17.3,10.3,0,70.4,103.6,sheffield
2017,10,15.2,10,0,46,86.7,sheffield
2017,11,9.7,4.7,0,43.2,72.8,sheffield
2017,12,7.4,2.8,6,70.2,64,sheffield
2018,1,7.2,3,3,124.2,39.1,sheffield
2018,2,5.3,0.6,10,41.2,68.7,sheffield
2018,3,7.5,1.7,7,113.2,61.4,sheffield
2018,4,13.2,6,0,97,96.7,sheffield
2018,5,19.4,8.7,0,36.8,251.4,sheffield
2018,6,21.5,11.7,0,23.2,225.2,sheffield
2018,7,25.4,13.9,0,23.2,NA,sheffield
2018,8,21.8,13.3,0,27.4,136.7,sheffield
2018,9,18,10.2,0,88.6,146.6,sheffield
2018,10,14.3,7.5,1,49,129.3,sheffield
2018,11,10.3,5.7,1,73.6,NA,sheffield
2018,12,8.8,4.4,2,100.8,NA,sheffield
2019,1,6.6,2.8,5,27.4,NA,sheffield
2019,2,11.2,3.2,4,32.2,122.6,sheffield
2019,3,11.5,4.7,0,118.2,132.9,sheffield
2019,4,14.1,4.4,3,16.2,155,sheffield
2019,5,16.1,7.8,0,43.8,181.4,sheffield
2019,6,18.6,10.5,0,130.2,113.3,sheffield
2019,7,22.7,14.1,0,126,NA,sheffield
2019,8,22,13.7,0,37.6,184.1,sheffield
2019,9,18.1,10.5,0,NA,NA,sheffield
2019,10,12.6,6.7,0,135.6,81,sheffield
2019,11,7.9,3.9,4,200,29,sheffield
2019,12,8.2,3.5,3,73,52.8,sheffield
2020,1,9.2,4.2,2,53.8,54.8,sheffield
2020,2,8.9,3,1,224.6,74.5,sheffield
2020,3,10.6,2.8,4,43.6,135.6,sheffield
2020,4,15.6,5.7,1,12.4,199.8,sheffield
2020,5,18.4,7.7,1,5.4,251.9,sheffield
2020,6,19.4,11,0,91,138.2,sheffield
2016,1,7.5,3,5,142.8,19.9,stornoway
2016,2,6.6,1,6,146.2,82.9,stornoway
2016,3,8.8,3.2,2,86,115.5,stornoway
2016,4,9.5,3.4,3,55,143.4,stornoway
2016,5,12.7,6.8,0,63.2,211.7,stornoway
2016,6,14.8,10.1,0,82.6,133,stornoway
2016,7,15.9,10.6,0,142.6,75.7,stornoway
2016,8,16.6,10.8,0,92.2,126.2,stornoway
2016,9,15.4,10.6,0,141.4,93.9,stornoway
2016,10,13.1,7.2,0,38.4,106.6,stornoway
2016,11,8.7,3.2,5,97.6,57,stornoway
2016,12,10.1,5.1,2,111.8,23.8,stornoway
2017,1,8.5,3.9,2,67.6,35.3,stornoway
2017,2,8.4,3.8,4,108.6,75.4,stornoway
2017,3,9.5,3.6,2,116.2,126,stornoway
2017,4,10.3,4.9,0,66.8,101.1,stornoway
2017,5,14.4,8,0,43.8,203.1,stornoway
2017,6,15.1,9.9,0,55.8,114.1,stornoway
2017,7,16.6,10.2,0,74.6,166.4,stornoway
2017,8,16.5,11,0,114.6,122.3,stornoway
2017,9,14.8,9.9,0,111.2,97.3,stornoway
2017,10,12.9,7.8,0,155.2,56.9,stornoway
2017,11,7.8,3.1,0,184.4,42.8,stornoway
2017,12,7.4,2.3,8,138.2,16.7,stornoway
2018,1,6.5,1.6,9,167,32.6,stornoway
2018,2,6.5,0.8,10,79.6,89.2,stornoway
2018,3,7.1,2,6,72.4,125.5,stornoway
2018,4,10.9,4.9,2,69.6,185.5,stornoway
2018,5,13.8,7.2,0,47,203.1,stornoway
2018,6,15.9,9.8,0,38.2,172.9,stornoway
2018,7,17.3,11.4,0,60.6,112.6,stornoway
2018,8,15.8,10.4,0,77.2,76.5,stornoway
2018,9,13.5,8.2,0,189.4,97.4,stornoway
2018,10,11.7,6.3,0,151.4,72.5,stornoway
2018,11,10.7,6,0,79.2,63.6,stornoway
2018,12,8.8,4.1,2,130.2,22.2,stornoway
2019,1,7,1.6,11,121.4,38.6,stornoway
2019,2,9.4,4.1,5,127.2,40.9,stornoway
2019,3,8.8,3.8,1,142,88.6,stornoway
2019,4,12.5,5.8,0,44.2,167.6,stornoway
2019,5,12,5.8,1,61.2,144.9,stornoway
2019,6,14.4,9.2,0,77.8,122.3,stornoway
2019,7,17.6,12.2,0,90,108.1,stornoway
2019,8,16.4,11.7,0,200.4,102.9,stornoway
2019,9,15.5,9.5,0,87.6,106.9,stornoway
2019,10,11.6,6.7,0,123.8,81.5,stornoway
2019,11,8.3,4,4,54.8,38.5,stornoway
2019,12,8.3,3.5,5,136.8,17.5,stornoway
2020,1,8.7,4.1,0,164.4,12.8,stornoway
2020,2,7.4,1.9,6,175.6,48.2,stornoway
2020,3,8.2,2.5,4,131.2,101.3,stornoway
2020,4,11,3.9,2,35.2,214.2,stornoway
2020,5,13.8,6.5,1,83.2,177.1,stornoway
2020,6,15.1,9.7,0,76.6,151.1,stornoway
2016,1,8,4,1,186.2,17.8,tiree
2016,2,7.4,2.5,2,153.6,87.1,tiree
2016,3,8.9,4.4,0,92.4,103.9,tiree
2016,4,9.5,4,0,77.4,199,tiree
2016,5,14.3,7.6,0,60.2,269,tiree
2016,6,16,10.8,0,54.8,196,tiree
2016,7,15.7,11,0,144.8,119.5,tiree
2016,8,16.7,12.1,0,124.4,145,tiree
2016,9,15.8,11.4,0,137.4,75.6,tiree
2016,10,13.4,9,0,37.4,98.4,tiree
2016,11,9.7,4.6,2,117,50.8,tiree
2016,12,10.4,6.1,0,131.4,18,tiree
2017,1,8.6,4.9,1,83.4,21.7,tiree
2017,2,8.6,4.3,2,122.6,70.5,tiree
2017,3,9.9,4.7,0,103.6,163.5,tiree
2017,4,10.6,5.7,0,36.2,156.4,tiree
2017,5,14.6,8,0,55.8,255.6,tiree
2017,6,14.8,10.7,0,79.4,112.1,tiree
2017,7,16.4,10.9,0,115.8,208.4,tiree
2017,8,16.6,11.7,0,182,152.8,tiree
2017,9,15,10.2,0,132.6,124.5,tiree
2017,10,13.6,9.3,0,167,51.3,tiree
2017,11,9.4,4.7,0,129.4,35.7,tiree
2017,12,8.2,3.8,3,128,24.9,tiree
2018,1,7.4,2.9,2,181.6,38.2,tiree
2018,2,6.8,2.4,3,112,86.5,tiree
2018,3,7.3,2,6,68.1,142.5,tiree
2018,4,10.7,5,1,71.4,185,tiree
2018,5,14.2,8.2,0,57.2,236.2,tiree
2018,6,16.3,10.3,0,48.4,203.6,tiree
2018,7,17,12,0,73.2,160.2,tiree
2018,8,16,11.2,0,104.4,141.4,tiree
2018,9,14.2,9.2,0,140,101.3,tiree
2018,10,12.2,7.7,0,152.4,76.4,tiree
2018,11,10.6,6.6,0,123.8,71.1,tiree
2018,12,9.4,5.4,0,108.6,14.7,tiree
2019,1,7.8,4.1,3,75.8,29.9,tiree
2019,2,9.4,5,1,102.6,54.2,tiree
2019,3,NA,NA,NA,NA,NA,tiree
2019,4,11.8,6.2,0,16.8,165.1,tiree
2019,5,12.1,6.4,0,91.2,211.7,tiree
2019,6,15.1,10,0,59.4,225.3,tiree
2019,7,16.9,12.5,0,133.8,151.2,tiree
2019,8,17.2,12.2,0,186.4,157.3,tiree
2019,9,15.4,10.8,0,86,112.8,tiree
2019,10,12.2,7.7,0,134.4,105.1,tiree
2019,11,8.8,4.2,3,82.8,61,tiree
2019,12,9.2,5,0,209.2,31.6,tiree
2020,1,9,5,0,130.8,13.5,tiree
2020,2,7.9,2.8,1,188.6,63,tiree
2020,3,8.5,3.8,0,129.8,132.8,tiree
2020,4,11.5,5.2,0,19,215,tiree
2020,5,13.3,7.6,0,57.2,238.4,tiree
2020,6,15.7,10.4,0,66.8,181.4,tiree
2016,1,9.4,5.2,1,110.4,44.8,valley
2016,2,8.4,3.7,3,81.2,76.2,valley
2016,3,9.4,4,2,56.6,126.8,valley
2016,4,11.1,5.3,0,81,188,valley
2016,5,15.9,9.2,0,46.8,250.8,valley
2016,6,18,12,0,72,205.3,valley
2016,7,18.2,13.3,0,71.6,149.1,valley
2016,8,19.1,13.7,0,61.8,167.7,valley
2016,9,18,13.3,0,94.6,129,valley
2016,10,14.6,8.6,0,25,80,valley
2016,11,10,4.8,4,81.6,77.8,valley
2016,12,10.7,6.1,2,75.8,40.3,valley
2017,1,8.8,4.2,6,38.6,49.8,valley
2017,2,9.2,4.6,3,104,49.2,valley
2017,3,11,6,0,76.8,109.6,valley
2017,4,12,6.8,0,17,117.9,valley
2017,5,17,9.7,0,31.4,250,valley
2017,6,17.6,12.6,0,129.2,155.7,valley
2017,7,18.8,12.8,0,78.8,194.9,valley
2017,8,18.1,13.3,0,60,175.3,valley
2017,9,16.6,11.5,0,86.2,113.1,valley
2017,10,15.2,10.9,0,65.8,60.7,valley
2017,11,10.9,6.5,0,104,48.6,valley
2017,12,9,4.5,2,79.2,34.5,valley
2018,1,8.5,3.5,4,88.6,59.5,valley
2018,2,7.2,1.6,10,62,115.4,valley
2018,3,8.2,2.5,7,94.8,108.3,valley
2018,4,12.3,6.4,0,65,140.6,valley
2018,5,15.8,9.1,0,29,231.6,valley
2018,6,20.2,11.7,0,10.8,291.8,valley
2018,7,21,13.5,0,49,265.3,valley
2018,8,18.6,13.2,0,37.4,131.8,valley
2018,9,16.3,11.4,0,87,131.8,valley
2018,10,13.9,8.6,2,97.6,101.6,valley
2018,11,11.5,6.6,0,139.2,69.1,valley
2018,12,10.3,6.8,1,112.8,19.8,valley
2019,1,8.4,4.4,2,38.2,34.8,valley
2019,2,10.7,5.3,3,50.4,110.2,valley
2019,3,10.3,5.9,0,96,103.5,valley
2019,4,13.7,6.5,0,67.2,138.8,valley
2019,5,14.3,8.1,0,39.2,203.5,valley
2019,6,17.1,11.3,0,60.8,204.6,valley
2019,7,19.5,13.6,0,32.2,181.5,valley
2019,8,19.3,14.1,0,60.8,179.6,valley
2019,9,17.7,11.6,0,86.2,141.5,valley
2019,10,13.6,8.5,0,147.8,95.7,valley
2019,11,9.9,5.1,1,92.8,49.4,valley
2019,12,9.7,5.8,2,60.2,NA,valley
2020,1,9.3,5.1,2,72.8,48,valley
2020,2,9.2,5.1,0,113.4,NA,valley
2020,3,10.2,4.4,0,31,NA,valley
2020,4,14.7,6.9,0,12.8,219.7,valley
2020,5,16.6,8.7,0,7.2,312.3,valley
2020,6,17.9,11.7,0,76.8,137.6,valley
2016,1,7.9,2.1,8,59.6,47.2,waddington
2016,2,8.2,1.7,9,44.8,110.2,waddington
2016,3,9.3,2.2,3,68.8,118.8,waddington
2016,4,11.8,3.4,1,51.6,158.6,waddington
2016,5,16.6,7.8,0,40.8,190.8,waddington
2016,6,18.7,11.2,0,120,106.8,waddington
2016,7,21.7,12.9,0,43.8,170.3,waddington
2016,8,22,13.3,0,46,208.3,waddington
2016,9,20.1,12.4,0,42,130.3,waddington
2016,10,14.2,7.8,0,49.8,104.1,waddington
2016,11,8.6,3.2,4,66,92.9,waddington
2016,12,8.6,2.6,5,19.4,55.7,waddington
2017,1,6.1,1,13,42.6,53.6,waddington
2017,2,8.5,3.3,3,41.6,52.8,waddington
2017,3,12.3,4.9,0,47.8,132.3,waddington
2017,4,13.5,4.8,1,21.2,156.5,waddington
2017,5,17.7,8.9,0,50.2,186.4,waddington
2017,6,20.6,12.8,0,80,157.8,waddington
2017,7,21.3,12.7,0,62.8,168.9,waddington
2017,8,20.4,12.1,0,53.8,179.1,waddington
2017,9,17.6,10.2,0,78.4,107.4,waddington
2017,10,15.5,9.6,0,12.8,79.7,waddington
2017,11,9.6,4.2,2,33.4,80.8,waddington
2017,12,7.2,2,9,58.8,71.6,waddington
2018,1,7.7,2.5,2,54.9,57.1,waddington
2018,2,5.3,-0.4,18,34.6,81.1,waddington
2018,3,8,1.6,10,74.3,77.6,waddington
2018,4,13.3,6.2,0,79.8,98.5,waddington
2018,5,18.5,8.2,0,61,255.8,waddington
2018,6,20.8,11.3,0,34,216.3,waddington
2018,7,25.4,14.1,0,24.6,254.3,waddington
2018,8,22.3,13.5,0,53,179.4,waddington
2018,9,18.3,10,0,26.2,133.2,waddington
2018,10,14.9,7.3,1,48.6,139.2,waddington
2018,11,10.8,4.7,0,31.2,71,waddington
2018,12,8.9,3.9,3,71.2,53.7,waddington
2019,1,6.6,1.5,9,19.6,57.1,waddington
2019,2,11,2.2,6,20.2,130.2,waddington
2019,3,11.8,4.5,0,50,139.3,waddington
2019,4,13.9,3.7,2,27,180.8,waddington
2019,5,16.1,7.1,0,45.6,193.1,waddington
2019,6,18.8,10.5,0,140.8,140.7,waddington
2019,7,22.6,14,0,66.4,175.1,waddington
2019,8,22.6,13.5,0,65.2,202.8,waddington
2019,9,18.8,10.6,0,104.2,162.8,waddington
2019,10,13.1,6.8,0,99.8,89.2,waddington
2019,11,8.6,4.1,2,107.4,52.2,waddington
2019,12,8.1,3.1,2,54.2,70.6,waddington
2020,1,9.2,3.9,1,27.8,61,waddington
2020,2,9.7,3.1,1,99.4,85.3,waddington
2020,3,10.6,2.6,6,17.6,156.6,waddington
2020,4,15.7,5.7,0,13.2,230.1,waddington
2020,5,18.4,7.7,0,11,284.6,waddington
2020,6,19.8,10.9,0,62,172.3,waddington
2016,1,7.9,2.9,3,166.6,38.1,whitby
2016,2,7.8,1.5,7,41.6,117,whitby
2016,3,9.3,2.6,3,90.1,110.3,whitby
2016,4,10.8,3.7,1,63.8,171.3,whitby
2016,5,14.3,7,0,41.9,171,whitby
2016,6,16.3,9.8,0,63.5,141.1,whitby
2016,7,21.2,12.8,0,31.3,216,whitby
2016,8,20.5,12.6,0,66.4,232,whitby
2016,9,19.4,12.1,0,25.2,134.3,whitby
2016,10,13.6,8.5,0,35.7,114.2,whitby
2016,11,8.7,3.1,5,82.7,71.7,whitby
2016,12,9.3,3.8,3,27.7,58.3,whitby
2017,1,6.9,2,8,30.3,65.8,whitby
2017,2,8.9,3.7,2,34.7,73.2,whitby
2017,3,12.1,4.6,3,28.8,151.2,whitby
2017,4,13.2,5.1,0,21.3,204.8,whitby
2017,5,16.6,8.9,0,29.2,213,whitby
2017,6,19.8,11.5,0,135.3,201.6,whitby
2017,7,19.8,11.8,0,61.6,208.9,whitby
2017,8,20,11.5,0,55.6,200.1,whitby
2017,9,NA,10.4,0,79.9,137.5,whitby
2017,10,NA,9.7,0,43.2,110.6,whitby
2017,11,NA,4,2,74.3,85.4,whitby
2017,12,7.8,2.4,8,36.9,68.7,whitby
2018,1,7.1,2.5,4,49.6,67.4,whitby
2018,2,5.4,0.8,10,48.4,75.1,whitby
2018,3,7.4,1.5,9,110.8,90.1,whitby
2018,4,13.4,5.8,0,77.1,153.7,whitby
2018,5,17,7.8,0,30.1,249.2,whitby
2018,6,18,10.3,0,9.9,219.1,whitby
2018,7,22.3,13.3,0,34.1,235.1,whitby
2018,8,21.2,12.3,0,20.8,184.6,whitby
2018,9,18.1,9.6,0,49.8,178,whitby
2018,10,14.8,7.3,0,57.9,136.8,whitby
2018,11,10.9,6.2,1,74.7,82.3,whitby
2018,12,8.7,3.5,5,55.6,62.1,whitby
2019,1,7.2,2.1,10,34.5,69.1,whitby
2019,2,11.4,3.1,4,28.9,130.2,whitby
2019,3,12.3,4.3,0,53.3,168.4,whitby
2019,4,12,4.2,2,19.5,211.6,whitby
2019,5,14.9,7.1,0,25.7,201.5,whitby
2019,6,17.8,10.2,0,97.3,168.5,whitby
2019,7,21.9,13.4,0,36,215.5,whitby
2019,8,21.7,13.1,0,35.6,189.9,whitby
2019,9,18.3,10.1,0,54.8,176.8,whitby
2019,10,12.5,6.5,0,112.6,83.3,whitby
2019,11,9,4.7,4,92.1,41.5,whitby
2019,12,8.3,3.2,2,50.6,59.4,whitby
2020,1,9.3,3.5,1,27,89.6,whitby
2020,2,9,2.8,4,97.5,104.8,whitby
2020,3,10.6,2.6,4,14.3,167.9,whitby
2020,4,13.8,4.9,1,2.3,215.4,whitby
2020,5,17.2,7,2,9.6,269.1,whitby
2020,6,17.8,10.3,0,102.2,177.6,whitby
2016,1,6.4,1.6,10,141.6,NA,wickairport
2016,2,6.1,0.4,9,75.6,NA,wickairport
2016,3,8.4,2.6,7,34.2,NA,wickairport
2016,4,8.8,2.8,6,64,NA,wickairport
2016,5,12.1,6.3,0,35.4,NA,wickairport
2016,6,13.7,8.9,0,39.4,NA,wickairport
2016,7,16.7,10.3,0,112.1,NA,wickairport
2016,8,16.2,10.6,0,NA,NA,wickairport
2016,9,15.9,10.8,0,NA,NA,wickairport
2016,10,12.5,7.7,0,48.6,NA,wickairport
2016,11,7.9,2.2,5,52.6,NA,wickairport
2016,12,9.6,4.1,2,59,NA,wickairport
2017,1,7.4,2.4,6,96.4,NA,wickairport
2017,2,7.8,2.8,6,56.9,NA,wickairport
2017,3,9.2,3.2,3,63.6,NA,wickairport
2017,4,10.3,3.9,2,39.8,NA,wickairport
2017,5,13.7,7.4,0,25.8,NA,wickairport
2017,6,15.2,9.6,0,128.6,NA,wickairport
2017,7,16.2,9.7,0,72.8,NA,wickairport
2017,8,16.3,10.4,0,80,NA,wickairport
2017,9,14.5,9.9,0,87.6,NA,wickairport
2017,10,13.1,7.9,0,87.6,NA,wickairport
2017,11,7.4,2.5,1,139,NA,wickairport
2017,12,6.7,1.6,11,71.6,NA,wickairport
2018,1,5.5,1,12,56.4,NA,wickairport
2018,2,5.5,0.5,9,34.1,NA,wickairport
2018,3,6.1,1.3,6,67,NA,wickairport
2018,4,10.2,3.8,4,39.2,NA,wickairport
2018,5,13.6,6.8,0,32.8,NA,wickairport
2018,6,15.3,8.8,0,17.8,NA,wickairport
2018,7,NA,NA,NA,57.6,NA,wickairport
2018,8,16.6,10.1,0,52.7,NA,wickairport
2018,9,14.5,8,0,86.6,NA,wickairport
2018,10,11.9,6.2,1,94.8,NA,wickairport
2018,11,10.1,6.3,0,53,NA,wickairport
2018,12,7.7,3.4,5,36.3,NA,wickairport
2019,1,6.1,1.3,11,62.6,NA,wickairport
2019,2,9.1,3.3,5,44.4,NA,wickairport
2019,3,9.1,3.3,4,64.2,NA,wickairport
2019,4,10.2,5.8,1,32.8,NA,wickairport
2019,5,11.3,4.6,4,51.4,NA,wickairport
2019,6,14.7,8.9,0,63.6,NA,wickairport
2019,7,17,11.3,0,62.6,NA,wickairport
2019,8,16.8,11.2,0,92.4,NA,wickairport
2019,9,14.6,8.8,0,52.4,NA,wickairport
2019,10,11.4,5.8,1,69.2,NA,wickairport
2019,11,7.5,3.8,5,115.2,NA,wickairport
2019,12,7.4,2.6,7,52.8,NA,wickairport
2020,1,8.2,3,3,43.8,NA,wickairport
2020,2,6.8,1.4,5,73.6,NA,wickairport
2020,3,8.2,2,6,21.8,NA,wickairport
2020,4,10.3,3.8,4,14.4,NA,wickairport
2020,5,12.8,5.5,2,46.4,NA,wickairport
2020,6,14.4,9.3,0,47.6,NA,wickairport
2016,1,10,2.5,9,84.4,76.3,yeovilton
2016,2,9.4,2,11,80.4,NA,yeovilton
2016,3,10.4,1.4,13,77,49.4,yeovilton
2016,4,12.8,3.4,6,45.2,162.9,yeovilton
2016,5,17.9,7.8,1,61,202.5,yeovilton
2016,6,19.4,11.7,0,111,94.8,yeovilton
2016,7,21.8,12.8,0,4.4,158,yeovilton
2016,8,22.8,12.5,0,35.2,209.7,yeovilton
2016,9,20.4,12.1,0,47.6,117.8,yeovilton
2016,10,15.2,6,1,35.6,116.3,yeovilton
2016,11,10.4,2.6,7,91.4,78.3,yeovilton
2016,12,10,2.7,11,17.2,42.3,yeovilton
2017,1,8.5,0.7,14,58.8,87.6,yeovilton
2017,2,9.9,3.8,7,42.6,52.5,yeovilton
2017,3,13.1,5.4,1,62,98.6,yeovilton
2017,4,14.6,3.8,2,12.2,175,yeovilton
2017,5,18.2,8.8,0,64.4,178.7,yeovilton
2017,6,21.2,11.7,0,60.6,173.8,yeovilton
2017,7,21.7,13.1,0,68,156.2,yeovilton
2017,8,20.7,11.6,0,41.8,NA,yeovilton
2017,9,18,10.1,0,52.8,105.8,yeovilton
2017,10,16.5,9.6,1,35,90.1,yeovilton
2017,11,11.4,3,7,67.8,79.2,yeovilton
2017,12,9.8,2.2,12,81.4,58.2,yeovilton
2018,1,10.2,2.8,6,69.2,55.1,yeovilton
2018,2,7.3,-0.1,15,28.4,129.3,yeovilton
2018,3,9.3,2.1,9,121.4,82.6,yeovilton
2018,4,14.2,7.2,0,58.4,99.1,yeovilton
2018,5,19,7.4,0,45.4,221.6,yeovilton
2018,6,22.8,11.6,0,5.6,248.3,yeovilton
2018,7,25.9,13.5,0,13.8,242.3,yeovilton
2018,8,22.6,12.8,0,53.8,138.5,yeovilton
2018,9,19.6,9.4,0,36.4,149,yeovilton
2018,10,15.4,6.2,4,51.8,132.8,yeovilton
2018,11,12.1,5.3,4,102.6,73.8,yeovilton
2018,12,11,5.3,2,94.2,27.2,yeovilton
2019,1,7.8,1,14,33.8,53.2,yeovilton
2019,2,11.8,1.9,10,47.2,111.4,yeovilton
2019,3,12.3,4.8,2,66,110,yeovilton
2019,4,14.8,4.7,2,49.4,155.2,yeovilton
2019,5,17.3,6.1,2,17.6,197.3,yeovilton
2019,6,19.4,10.4,0,69.2,141.6,yeovilton
2019,7,24,12.6,0,14.8,221.1,yeovilton
2019,8,22.6,12.4,0,38.4,176.6,yeovilton
2019,9,19.9,11,0,83.8,155.3,yeovilton
2019,10,14.9,7.6,1,112.4,69,yeovilton
2019,11,10.4,4.3,4,87,45.9,yeovilton
2019,12,10.3,3.2,7,139.4,56.7,yeovilton
2020,1,9.6,4.1,5,55.8,44,yeovilton
2020,2,10.8,4.5,2,117.4,63.1,yeovilton
2020,3,11.5,3,6,43.4,159.2,yeovilton
2020,4,17.5,5.3,3,39.8,235,yeovilton
2020,5,19.7,6.8,2,3.6,305.6,yeovilton
2020,6,20.5,11,0,103,187.6,yeovilton
